Pavardė            Vardas              Galutinis (Vid.)    Galutinis (Med.)    
Pavarde235          Vardas235           8.18                8.40                
Pavarde236          Vardas236           6.43                7.00                
Pavarde237          Vardas237           6.33                6.20                
Pavarde239          Vardas239           6.30                6.40                
Pavarde240          Vardas240           8.03                7.60                
Pavarde241          Vardas241           7.85                7.20                
Pavarde242          Vardas242           6.80                7.40                
Pavarde243          Vardas243           7.80                7.20                
Pavarde245          Vardas245           5.75                5.20                
Pavarde246          Vardas246           7.08                6.80                
Pavarde251          Vardas251           7.28                7.20                
Pavarde253          Vardas253           5.80                5.60                
Pavarde254          Vardas254           5.38                5.00                
Pavarde259          Vardas259           6.55                6.60                
Pavarde26           Vardas26            7.12                7.00                
Pavarde264          Vardas264           8.15                8.40                
Pavarde265          Vardas265           7.42                7.20                
Pavarde266          Vardas266           6.00                6.20                
Pavarde267          Vardas267           6.00                6.00                
Pavarde268          Vardas268           5.65                5.80                
Pavarde275          Vardas275           5.12                5.20                
Pavarde277          Vardas277           7.92                8.20                
Pavarde279          Vardas279           7.60                7.80                
Pavarde28           Vardas28            5.70                5.60                
Pavarde281          Vardas281           6.88                6.80                
Pavarde283          Vardas283           5.77                5.60                
Pavarde286          Vardas286           6.68                6.60                
Pavarde288          Vardas288           5.58                5.60                
Pavarde289          Vardas289           7.08                7.20                
Pavarde29           Vardas29            6.33                6.20                
Pavarde290          Vardas290           7.72                7.80                
Pavarde291          Vardas291           5.72                5.60                
Pavarde292          Vardas292           7.72                7.80                
Pavarde294          Vardas294           7.00                6.80                
Pavarde296          Vardas296           6.25                6.20                
Pavarde298          Vardas298           7.08                6.80                
Pavarde299          Vardas299           8.40                8.40                
Pavarde30           Vardas30            7.07                6.20                
Pavarde300          Vardas300           8.25                8.60                
Pavarde302          Vardas302           6.12                6.00                
Pavarde303          Vardas303           5.33                5.20                
Pavarde304          Vardas304           6.15                6.20                
Pavarde305          Vardas305           7.33                6.80                
Pavarde306          Vardas306           7.90                8.00                
Pavarde308          Vardas308           7.05                6.80                
Pavarde309          Vardas309           6.58                6.60                
Pavarde310          Vardas310           8.05                8.00                
Pavarde312          Vardas312           7.85                7.20                
Pavarde313          Vardas313           6.02                5.60                
Pavarde314          Vardas314           5.97                6.00                
Pavarde317          Vardas317           7.42                7.00                
Pavarde319          Vardas319           6.28                6.20                
Pavarde32           Vardas32            5.50                5.20                
Pavarde320          Vardas320           6.55                6.00                
Pavarde324          Vardas324           8.50                8.40                
Pavarde326          Vardas326           6.25                5.80                
Pavarde328          Vardas328           5.35                5.00                
Pavarde33           Vardas33            7.85                8.20                
Pavarde331          Vardas331           7.60                7.40                
Pavarde332          Vardas332           6.53                6.40                
Pavarde333          Vardas333           5.58                5.40                
Pavarde335          Vardas335           8.25                8.00                
Pavarde337          Vardas337           5.38                5.40                
Pavarde340          Vardas340           6.97                7.20                
Pavarde345          Vardas345           6.62                6.40                
Pavarde347          Vardas347           6.53                6.40                
Pavarde348          Vardas348           6.78                7.00                
Pavarde349          Vardas349           5.58                5.20                
Pavarde350          Vardas350           8.00                7.60                
Pavarde352          Vardas352           7.67                7.80                
Pavarde354          Vardas354           7.60                7.80                
Pavarde355          Vardas355           8.43                8.00                
Pavarde357          Vardas357           5.30                4.80                
Pavarde359          Vardas359           7.07                6.60                
Pavarde364          Vardas364           5.17                4.60                
Pavarde365          Vardas365           6.38                6.20                
Pavarde366          Vardas366           7.00                7.20                
Pavarde367          Vardas367           6.92                6.80                
Pavarde368          Vardas368           6.18                5.80                
Pavarde37           Vardas37            6.47                6.80                
Pavarde370          Vardas370           5.42                5.40                
Pavarde373          Vardas373           6.22                6.40                
Pavarde374          Vardas374           7.00                6.80                
Pavarde376          Vardas376           7.25                7.00                
Pavarde377          Vardas377           5.80                5.60                
Pavarde378          Vardas378           6.52                6.40                
Pavarde379          Vardas379           5.30                5.00                
Pavarde38           Vardas38            7.85                7.80                
Pavarde383          Vardas383           7.58                6.80                
Pavarde384          Vardas384           7.27                7.00                
Pavarde385          Vardas385           7.57                7.40                
Pavarde386          Vardas386           8.03                8.20                
Pavarde387          Vardas387           5.62                5.20                
Pavarde389          Vardas389           7.77                7.80                
Pavarde390          Vardas390           7.75                7.60                
Pavarde392          Vardas392           7.65                7.40                
Pavarde393          Vardas393           6.60                6.40                
Pavarde394          Vardas394           7.25                7.20                
Pavarde395          Vardas395           7.50                7.60                
Pavarde396          Vardas396           7.62                7.40                
Pavarde399          Vardas399           5.42                5.20                
Pavarde4            Vardas4             7.62                7.40                
Pavarde40           Vardas40            5.28                5.60                
Pavarde401          Vardas401           5.58                5.80                
Pavarde404          Vardas404           7.03                6.80                
Pavarde406          Vardas406           7.55                7.40                
Pavarde408          Vardas408           7.85                7.80                
Pavarde409          Vardas409           7.95                8.20                
Pavarde410          Vardas410           8.55                8.80                
Pavarde411          Vardas411           7.57                7.40                
Pavarde412          Vardas412           5.80                5.60                
Pavarde414          Vardas414           8.18                8.40                
Pavarde418          Vardas418           6.92                6.80                
Pavarde419          Vardas419           5.95                6.00                
Pavarde420          Vardas420           5.65                5.40                
Pavarde423          Vardas423           7.33                7.20                
Pavarde425          Vardas425           6.22                6.00                
Pavarde426          Vardas426           5.10                4.80                
Pavarde429          Vardas429           6.80                6.60                
Pavarde430          Vardas430           8.07                7.60                
Pavarde433          Vardas433           6.58                6.40                
Pavarde434          Vardas434           5.42                5.40                
Pavarde435          Vardas435           7.92                7.60                
Pavarde438          Vardas438           6.38                7.00                
Pavarde439          Vardas439           7.10                7.20                
Pavarde440          Vardas440           6.30                6.20                
Pavarde442          Vardas442           7.97                8.20                
Pavarde444          Vardas444           6.03                6.20                
Pavarde449          Vardas449           7.85                7.80                
Pavarde45           Vardas45            6.80                6.40                
Pavarde450          Vardas450           7.67                7.80                
Pavarde453          Vardas453           7.98                7.60                
Pavarde454          Vardas454           5.33                5.00                
Pavarde457          Vardas457           7.77                7.80                
Pavarde46           Vardas46            5.03                4.60                
Pavarde464          Vardas464           5.55                5.40                
Pavarde466          Vardas466           5.12                4.40                
Pavarde467          Vardas467           7.75                8.20                
Pavarde47           Vardas47            6.15                6.20                
Pavarde470          Vardas470           8.12                8.00                
Pavarde471          Vardas471           7.53                7.60                
Pavarde472          Vardas472           5.88                5.60                
Pavarde473          Vardas473           7.25                7.00                
Pavarde476          Vardas476           7.45                7.40                
Pavarde478          Vardas478           8.43                8.40                
Pavarde479          Vardas479           5.95                6.00                
Pavarde480          Vardas480           6.50                6.20                
Pavarde481          Vardas481           8.30                8.00                
Pavarde483          Vardas483           8.47                8.40                
Pavarde486          Vardas486           5.62                5.80                
Pavarde487          Vardas487           5.35                4.80                
Pavarde490          Vardas490           8.45                8.00                
Pavarde492          Vardas492           8.07                8.00                
Pavarde494          Vardas494           5.50                5.40                
Pavarde495          Vardas495           5.33                5.40                
Pavarde496          Vardas496           7.97                7.80                
Pavarde499          Vardas499           6.90                6.80                
Pavarde5            Vardas5             5.95                6.00                
Pavarde50           Vardas50            7.22                7.00                
Pavarde501          Vardas501           6.90                6.40                
Pavarde502          Vardas502           5.22                4.80                
Pavarde503          Vardas503           6.35                6.20                
Pavarde507          Vardas507           5.22                4.80                
Pavarde509          Vardas509           7.70                7.80                
Pavarde510          Vardas510           6.00                6.20                
Pavarde511          Vardas511           8.40                8.40                
Pavarde512          Vardas512           5.58                5.40                
Pavarde516          Vardas516           7.47                7.40                
Pavarde517          Vardas517           7.02                6.60                
Pavarde518          Vardas518           5.97                6.00                
Pavarde519          Vardas519           7.25                7.40                
Pavarde52           Vardas52            5.90                6.00                
Pavarde521          Vardas521           5.25                5.00                
Pavarde522          Vardas522           6.88                6.80                
Pavarde523          Vardas523           7.32                7.00                
Pavarde524          Vardas524           5.62                5.40                
Pavarde526          Vardas526           5.38                5.40                
Pavarde528          Vardas528           7.20                7.00                
Pavarde529          Vardas529           6.95                7.00                
Pavarde53           Vardas53            5.35                5.40                
Pavarde530          Vardas530           8.32                8.40                
Pavarde531          Vardas531           8.35                8.40                
Pavarde534          Vardas534           7.60                7.40                
Pavarde537          Vardas537           7.75                7.40                
Pavarde539          Vardas539           7.23                7.00                
Pavarde540          Vardas540           6.90                6.80                
Pavarde543          Vardas543           6.33                6.40                
Pavarde545          Vardas545           6.60                7.00                
Pavarde546          Vardas546           6.20                5.80                
Pavarde547          Vardas547           6.25                6.40                
Pavarde548          Vardas548           5.17                5.40                
Pavarde549          Vardas549           7.75                7.80                
Pavarde55           Vardas55            5.15                5.00                
Pavarde550          Vardas550           8.28                8.00                
Pavarde551          Vardas551           5.70                5.40                
Pavarde554          Vardas554           7.22                6.60                
Pavarde556          Vardas556           5.85                6.00                
Pavarde558          Vardas558           6.92                6.80                
Pavarde56           Vardas56            8.38                8.00                
Pavarde561          Vardas561           7.70                7.80                
Pavarde562          Vardas562           5.88                6.00                
Pavarde564          Vardas564           6.75                6.80                
Pavarde566          Vardas566           7.65                7.20                
Pavarde567          Vardas567           7.97                8.00                
Pavarde569          Vardas569           7.15                7.00                
Pavarde57           Vardas57            5.55                5.80                
Pavarde572          Vardas572           7.20                7.60                
Pavarde574          Vardas574           6.65                6.60                
Pavarde575          Vardas575           7.22                7.60                
Pavarde577          Vardas577           6.62                6.20                
Pavarde578          Vardas578           8.40                8.40                
Pavarde579          Vardas579           8.12                8.00                
Pavarde58           Vardas58            7.65                7.80                
Pavarde580          Vardas580           7.00                6.80                
Pavarde582          Vardas582           8.43                8.80                
Pavarde584          Vardas584           5.83                5.60                
Pavarde585          Vardas585           7.98                8.00                
Pavarde589          Vardas589           7.70                7.60                
Pavarde590          Vardas590           6.10                6.20                
Pavarde591          Vardas591           8.03                7.80                
Pavarde592          Vardas592           7.45                7.40                
Pavarde596          Vardas596           8.72                9.20                
Pavarde597          Vardas597           5.00                5.00                
Pavarde599          Vardas599           6.80                6.40                
Pavarde601          Vardas601           6.97                6.80                
Pavarde602          Vardas602           5.62                5.60                
Pavarde606          Vardas606           7.85                7.80                
Pavarde607          Vardas607           5.83                5.60                
Pavarde609          Vardas609           5.77                5.60                
Pavarde61           Vardas61            7.67                7.80                
Pavarde611          Vardas611           7.05                7.20                
Pavarde612          Vardas612           6.68                6.60                
Pavarde614          Vardas614           6.70                6.60                
Pavarde615          Vardas615           7.62                7.80                
Pavarde617          Vardas617           8.15                8.00                
Pavarde618          Vardas618           6.90                6.80                
Pavarde620          Vardas620           5.17                5.00                
Pavarde621          Vardas621           6.67                6.00                
Pavarde622          Vardas622           8.57                8.80                
Pavarde624          Vardas624           8.28                8.00                
Pavarde627          Vardas627           6.02                6.00                
Pavarde629          Vardas629           5.95                5.60                
Pavarde63           Vardas63            6.10                5.80                
Pavarde632          Vardas632           8.15                8.40                
Pavarde633          Vardas633           5.12                5.40                
Pavarde635          Vardas635           5.65                5.60                
Pavarde639          Vardas639           7.28                7.20                
Pavarde640          Vardas640           8.75                9.20                
Pavarde641          Vardas641           6.90                6.80                
Pavarde643          Vardas643           7.78                7.20                
Pavarde644          Vardas644           5.62                5.60                
Pavarde645          Vardas645           7.92                7.80                
Pavarde650          Vardas650           7.05                6.80                
Pavarde651          Vardas651           8.40                8.80                
Pavarde652          Vardas652           5.92                6.00                
Pavarde653          Vardas653           8.10                8.00                
Pavarde654          Vardas654           8.45                8.80                
Pavarde658          Vardas658           6.48                6.60                
Pavarde659          Vardas659           6.35                7.00                
Pavarde66           Vardas66            6.92                7.20                
Pavarde660          Vardas660           8.40                8.40                
Pavarde663          Vardas663           5.97                5.60                
Pavarde665          Vardas665           6.85                7.40                
Pavarde666          Vardas666           5.40                5.40                
Pavarde67           Vardas67            8.07                7.60                
Pavarde670          Vardas670           7.50                7.80                
Pavarde671          Vardas671           6.60                6.40                
Pavarde672          Vardas672           7.30                7.20                
Pavarde673          Vardas673           8.00                7.60                
Pavarde677          Vardas677           8.10                8.00                
Pavarde678          Vardas678           5.50                5.40                
Pavarde682          Vardas682           6.33                6.00                
Pavarde683          Vardas683           8.40                8.00                
Pavarde684          Vardas684           5.55                5.20                
Pavarde685          Vardas685           8.05                8.00                
Pavarde686          Vardas686           7.35                7.40                
Pavarde687          Vardas687           8.30                8.40                
Pavarde690          Vardas690           8.00                8.20                
Pavarde691          Vardas691           8.45                8.80                
Pavarde695          Vardas695           6.03                5.80                
Pavarde696          Vardas696           7.42                7.00                
Pavarde697          Vardas697           8.62                8.80                
Pavarde698          Vardas698           5.60                5.80                
Pavarde699          Vardas699           5.35                5.00                
Pavarde70           Vardas70            7.22                7.20                
Pavarde700          Vardas700           6.23                5.40                
Pavarde702          Vardas702           5.00                5.20                
Pavarde705          Vardas705           6.78                6.40                
Pavarde707          Vardas707           5.05                5.00                
Pavarde708          Vardas708           8.00                8.20                
Pavarde71           Vardas71            8.03                8.00                
Pavarde712          Vardas712           7.40                6.60                
Pavarde713          Vardas713           7.67                7.80                
Pavarde714          Vardas714           5.78                5.80                
Pavarde717          Vardas717           5.78                5.40                
Pavarde719          Vardas719           5.50                5.40                
Pavarde722          Vardas722           7.65                7.80                
Pavarde724          Vardas724           5.75                6.00                
Pavarde725          Vardas725           7.15                7.20                
Pavarde726          Vardas726           6.20                6.20                
Pavarde727          Vardas727           5.70                5.60                
Pavarde728          Vardas728           6.15                5.80                
Pavarde730          Vardas730           7.70                7.40                
Pavarde732          Vardas732           5.08                5.00                
Pavarde733          Vardas733           5.30                4.80                
Pavarde734          Vardas734           7.40                7.00                
Pavarde735          Vardas735           6.88                7.00                
Pavarde736          Vardas736           6.92                6.80                
Pavarde737          Vardas737           6.72                6.40                
Pavarde738          Vardas738           6.08                6.40                
Pavarde739          Vardas739           5.10                5.00                
Pavarde74           Vardas74            7.33                7.20                
Pavarde740          Vardas740           5.50                5.40                
Pavarde742          Vardas742           8.00                7.60                
Pavarde743          Vardas743           5.97                5.60                
Pavarde744          Vardas744           6.05                6.40                
Pavarde745          Vardas745           7.40                7.40                
Pavarde747          Vardas747           7.35                7.40                
Pavarde748          Vardas748           7.67                7.40                
Pavarde749          Vardas749           5.65                5.60                
Pavarde75           Vardas75            7.38                7.40                
Pavarde750          Vardas750           6.47                6.80                
Pavarde754          Vardas754           5.23                5.40                
Pavarde755          Vardas755           7.17                7.00                
Pavarde756          Vardas756           5.38                4.80                
Pavarde759          Vardas759           6.28                6.60                
Pavarde76           Vardas76            6.50                6.60                
Pavarde760          Vardas760           5.50                4.80                
Pavarde762          Vardas762           6.05                6.40                
Pavarde764          Vardas764           5.65                5.60                
Pavarde765          Vardas765           7.45                7.00                
Pavarde766          Vardas766           5.05                5.00                
Pavarde767          Vardas767           6.00                6.20                
Pavarde768          Vardas768           6.40                6.20                
Pavarde77           Vardas77            8.38                8.00                
Pavarde770          Vardas770           7.90                7.60                
Pavarde772          Vardas772           6.38                6.60                
Pavarde773          Vardas773           5.58                5.20                
Pavarde78           Vardas78            6.65                6.60                
Pavarde783          Vardas783           5.60                5.60                
Pavarde785          Vardas785           7.85                8.20                
Pavarde786          Vardas786           7.30                7.40                
Pavarde787          Vardas787           6.00                6.00                
Pavarde79           Vardas79            5.85                5.60                
Pavarde791          Vardas791           7.22                6.80                
Pavarde792          Vardas792           8.28                8.00                
Pavarde793          Vardas793           6.33                6.40                
Pavarde794          Vardas794           8.07                8.60                
Pavarde795          Vardas795           6.72                6.40                
Pavarde796          Vardas796           7.55                7.80                
Pavarde798          Vardas798           7.35                7.40                
Pavarde799          Vardas799           6.00                5.80                
Pavarde8            Vardas8             5.55                5.20                
Pavarde801          Vardas801           6.53                7.00                
Pavarde803          Vardas803           6.68                7.00                
Pavarde806          Vardas806           7.95                7.60                
Pavarde808          Vardas808           8.03                8.20                
Pavarde81           Vardas81            6.10                6.40                
Pavarde810          Vardas810           7.75                7.40                
Pavarde811          Vardas811           5.00                5.00                
Pavarde814          Vardas814           8.32                8.80                
Pavarde816          Vardas816           6.12                6.20                
Pavarde817          Vardas817           5.23                5.40                
Pavarde818          Vardas818           5.35                4.80                
Pavarde819          Vardas819           6.53                6.20                
Pavarde82           Vardas82            5.08                5.00                
Pavarde821          Vardas821           6.33                6.20                
Pavarde823          Vardas823           8.80                8.80                
Pavarde825          Vardas825           8.18                7.60                
Pavarde827          Vardas827           7.40                7.00                
Pavarde828          Vardas828           5.38                5.00                
Pavarde829          Vardas829           7.67                7.80                
Pavarde83           Vardas83            5.90                6.00                
Pavarde830          Vardas830           5.47                5.20                
Pavarde831          Vardas831           7.92                7.60                
Pavarde832          Vardas832           7.95                8.00                
Pavarde833          Vardas833           6.30                6.00                
Pavarde835          Vardas835           5.90                6.00                
Pavarde838          Vardas838           6.90                6.40                
Pavarde839          Vardas839           7.10                6.80                
Pavarde840          Vardas840           5.12                5.00                
Pavarde841          Vardas841           7.40                7.60                
Pavarde845          Vardas845           5.23                5.00                
Pavarde846          Vardas846           7.33                7.60                
Pavarde848          Vardas848           8.00                8.00                
Pavarde849          Vardas849           6.80                7.00                
Pavarde853          Vardas853           6.50                6.20                
Pavarde857          Vardas857           5.47                5.60                
Pavarde858          Vardas858           5.17                5.40                
Pavarde86           Vardas86            6.83                7.00                
Pavarde860          Vardas860           6.28                6.20                
Pavarde861          Vardas861           6.48                6.20                
Pavarde862          Vardas862           6.62                6.00                
Pavarde864          Vardas864           6.68                6.60                
Pavarde865          Vardas865           5.10                5.00                
Pavarde868          Vardas868           6.83                7.00                
Pavarde873          Vardas873           6.03                5.80                
Pavarde874          Vardas874           5.50                5.60                
Pavarde875          Vardas875           5.88                5.40                
Pavarde876          Vardas876           7.15                7.20                
Pavarde878          Vardas878           8.00                7.20                
Pavarde88           Vardas88            6.40                6.80                
Pavarde880          Vardas880           6.70                6.80                
Pavarde881          Vardas881           8.40                8.40                
Pavarde882          Vardas882           6.70                6.00                
Pavarde883          Vardas883           5.30                5.40                
Pavarde884          Vardas884           5.95                6.00                
Pavarde886          Vardas886           7.55                7.00                
Pavarde887          Vardas887           5.47                5.20                
Pavarde889          Vardas889           5.58                5.40                
Pavarde89           Vardas89            6.50                6.40                
Pavarde890          Vardas890           6.40                6.00                
Pavarde892          Vardas892           6.08                6.00                
Pavarde893          Vardas893           6.95                6.80                
Pavarde897          Vardas897           5.72                5.20                
Pavarde898          Vardas898           5.77                5.60                
Pavarde899          Vardas899           7.80                7.80                
Pavarde9            Vardas9             7.92                7.60                
Pavarde903          Vardas903           8.15                8.00                
Pavarde907          Vardas907           5.70                5.60                
Pavarde908          Vardas908           7.03                6.80                
Pavarde910          Vardas910           6.30                6.20                
Pavarde911          Vardas911           6.50                6.00                
Pavarde912          Vardas912           5.72                6.00                
Pavarde913          Vardas913           8.75                9.20                
Pavarde918          Vardas918           7.33                7.20                
Pavarde919          Vardas919           5.97                5.60                
Pavarde920          Vardas920           6.43                6.20                
Pavarde921          Vardas921           7.30                7.00                
Pavarde922          Vardas922           5.55                5.60                
Pavarde923          Vardas923           5.55                5.20                
Pavarde924          Vardas924           7.85                8.20                
Pavarde927          Vardas927           7.38                7.00                
Pavarde929          Vardas929           5.80                5.40                
Pavarde93           Vardas93            5.65                4.80                
Pavarde930          Vardas930           7.82                8.20                
Pavarde934          Vardas934           6.15                6.20                
Pavarde935          Vardas935           6.83                6.80                
Pavarde938          Vardas938           6.80                6.80                
Pavarde94           Vardas94            8.18                7.60                
Pavarde941          Vardas941           7.88                7.80                
Pavarde942          Vardas942           5.05                4.60                
Pavarde944          Vardas944           5.77                6.00                
Pavarde945          Vardas945           7.00                6.80                
Pavarde946          Vardas946           6.10                6.20                
Pavarde947          Vardas947           5.25                5.00                
Pavarde949          Vardas949           6.97                6.80                
Pavarde95           Vardas95            8.28                8.00                
Pavarde952          Vardas952           7.90                8.00                
Pavarde954          Vardas954           7.33                7.20                
Pavarde958          Vardas958           5.30                5.80                
Pavarde959          Vardas959           6.92                6.80                
Pavarde962          Vardas962           7.20                7.20                
Pavarde963          Vardas963           6.85                7.00                
Pavarde965          Vardas965           8.10                8.40                
Pavarde966          Vardas966           8.65                8.40                
Pavarde967          Vardas967           5.70                5.20                
Pavarde968          Vardas968           6.75                6.80                
Pavarde969          Vardas969           6.35                6.80                
Pavarde970          Vardas970           7.32                7.40                
Pavarde972          Vardas972           6.33                6.20                
Pavarde974          Vardas974           8.28                8.40                
Pavarde977          Vardas977           6.03                6.20                
Pavarde979          Vardas979           6.83                6.60                
Pavarde98           Vardas98            7.65                7.80                
Pavarde980          Vardas980           5.72                6.00                
Pavarde981          Vardas981           6.18                6.20                
Pavarde982          Vardas982           5.03                4.80                
Pavarde987          Vardas987           5.30                6.20                
Pavarde99           Vardas99            7.10                6.80                
Pavarde991          Vardas991           7.42                7.40                
Pavarde993          Vardas993           7.92                7.60                
Pavarde994          Vardas994           7.72                7.80                
Pavarde995          Vardas995           5.40                5.20                
Pavarde996          Vardas996           7.05                6.80                
Pavarde997          Vardas997           5.40                5.20                
Pavarde999          Vardas999           6.60                6.40                
