Pavardė            Vardas              Galutinis (Vid.)    Galutinis (Med.)    
Pavarde181          Vardas181           3.70                3.60                
Pavarde182          Vardas182           3.33                2.80                
Pavarde184          Vardas184           4.53                5.00                
Pavarde185          Vardas185           4.55                4.00                
Pavarde19           Vardas19            3.93                4.00                
Pavarde191          Vardas191           4.40                4.40                
Pavarde193          Vardas193           2.60                2.60                
Pavarde196          Vardas196           2.98                3.40                
Pavarde197          Vardas197           4.80                4.80                
Pavarde2            Vardas2             3.08                3.40                
Pavarde20           Vardas20            2.70                2.60                
Pavarde202          Vardas202           2.58                2.60                
Pavarde203          Vardas203           4.05                4.20                
Pavarde204          Vardas204           2.95                3.00                
Pavarde206          Vardas206           4.12                4.60                
Pavarde208          Vardas208           2.95                3.40                
Pavarde211          Vardas211           3.33                3.40                
Pavarde217          Vardas217           4.95                5.20                
Pavarde218          Vardas218           4.58                4.40                
Pavarde219          Vardas219           3.85                3.40                
Pavarde221          Vardas221           4.12                3.60                
Pavarde225          Vardas225           3.27                3.20                
Pavarde226          Vardas226           2.45                2.20                
Pavarde227          Vardas227           3.40                3.60                
Pavarde234          Vardas234           4.08                3.80                
Pavarde238          Vardas238           4.65                4.80                
Pavarde24           Vardas24            2.52                2.20                
Pavarde244          Vardas244           4.03                4.20                
Pavarde247          Vardas247           2.60                2.20                
Pavarde248          Vardas248           3.18                2.80                
Pavarde249          Vardas249           4.10                3.60                
Pavarde25           Vardas25            2.75                2.60                
Pavarde250          Vardas250           2.20                1.80                
Pavarde252          Vardas252           4.35                4.20                
Pavarde255          Vardas255           4.70                4.20                
Pavarde256          Vardas256           4.45                4.40                
Pavarde257          Vardas257           3.77                3.80                
Pavarde258          Vardas258           4.50                5.00                
Pavarde260          Vardas260           4.83                4.80                
Pavarde261          Vardas261           3.12                3.40                
Pavarde262          Vardas262           2.33                1.80                
Pavarde263          Vardas263           4.72                4.80                
Pavarde269          Vardas269           2.93                3.40                
Pavarde27           Vardas27            3.55                3.40                
Pavarde270          Vardas270           3.10                3.00                
Pavarde271          Vardas271           2.83                3.00                
Pavarde272          Vardas272           4.60                4.80                
Pavarde273          Vardas273           3.75                4.00                
Pavarde274          Vardas274           3.00                3.00                
Pavarde276          Vardas276           4.20                4.00                
Pavarde278          Vardas278           2.62                2.60                
Pavarde280          Vardas280           2.68                2.60                
Pavarde282          Vardas282           3.77                3.40                
Pavarde284          Vardas284           2.50                2.20                
Pavarde285          Vardas285           3.23                3.40                
Pavarde287          Vardas287           2.88                2.20                
Pavarde293          Vardas293           2.95                2.60                
Pavarde295          Vardas295           3.18                3.40                
Pavarde297          Vardas297           3.75                3.60                
Pavarde3            Vardas3             4.80                4.80                
Pavarde301          Vardas301           4.28                4.40                
Pavarde307          Vardas307           3.40                3.20                
Pavarde31           Vardas31            3.20                3.20                
Pavarde311          Vardas311           4.40                4.60                
Pavarde315          Vardas315           4.05                3.80                
Pavarde316          Vardas316           2.95                2.40                
Pavarde318          Vardas318           4.97                5.60                
Pavarde321          Vardas321           3.10                2.80                
Pavarde322          Vardas322           4.53                4.20                
Pavarde323          Vardas323           3.52                3.60                
Pavarde325          Vardas325           3.75                3.40                
Pavarde327          Vardas327           4.70                5.20                
Pavarde329          Vardas329           3.50                3.60                
Pavarde330          Vardas330           4.33                4.00                
Pavarde334          Vardas334           3.65                3.40                
Pavarde336          Vardas336           2.88                3.00                
Pavarde338          Vardas338           4.58                4.40                
Pavarde339          Vardas339           4.47                4.40                
Pavarde34           Vardas34            3.48                3.80                
Pavarde341          Vardas341           3.20                3.20                
Pavarde342          Vardas342           3.58                3.20                
Pavarde343          Vardas343           4.98                4.60                
Pavarde344          Vardas344           4.08                4.60                
Pavarde346          Vardas346           4.35                4.00                
Pavarde35           Vardas35            3.85                4.20                
Pavarde351          Vardas351           3.00                2.80                
Pavarde353          Vardas353           3.65                3.60                
Pavarde356          Vardas356           2.85                2.60                
Pavarde358          Vardas358           4.35                4.20                
Pavarde36           Vardas36            3.38                3.80                
Pavarde360          Vardas360           3.05                3.00                
Pavarde361          Vardas361           4.88                4.80                
Pavarde362          Vardas362           4.25                4.60                
Pavarde363          Vardas363           2.73                2.60                
Pavarde369          Vardas369           4.90                5.20                
Pavarde371          Vardas371           3.50                3.40                
Pavarde372          Vardas372           2.60                2.60                
Pavarde375          Vardas375           3.40                3.20                
Pavarde380          Vardas380           4.25                4.20                
Pavarde381          Vardas381           3.62                3.60                
Pavarde382          Vardas382           3.15                3.40                
Pavarde388          Vardas388           3.18                3.20                
Pavarde39           Vardas39            3.23                3.20                
Pavarde391          Vardas391           4.88                5.20                
Pavarde397          Vardas397           3.20                3.20                
Pavarde398          Vardas398           3.98                3.80                
Pavarde400          Vardas400           2.85                2.60                
Pavarde402          Vardas402           4.00                4.00                
Pavarde403          Vardas403           3.50                3.60                
Pavarde405          Vardas405           2.77                2.40                
Pavarde407          Vardas407           2.90                3.00                
Pavarde41           Vardas41            4.88                4.60                
Pavarde413          Vardas413           3.77                4.00                
Pavarde415          Vardas415           3.12                3.40                
Pavarde416          Vardas416           3.70                3.40                
Pavarde417          Vardas417           4.47                4.40                
Pavarde42           Vardas42            2.85                2.60                
Pavarde421          Vardas421           3.70                3.60                
Pavarde422          Vardas422           4.08                4.20                
Pavarde424          Vardas424           3.08                3.20                
Pavarde427          Vardas427           3.25                3.00                
Pavarde428          Vardas428           2.98                2.80                
Pavarde43           Vardas43            4.38                4.00                
Pavarde431          Vardas431           4.78                4.80                
Pavarde432          Vardas432           4.88                5.00                
Pavarde436          Vardas436           2.98                3.00                
Pavarde437          Vardas437           3.98                4.40                
Pavarde44           Vardas44            4.80                4.60                
Pavarde441          Vardas441           4.90                4.80                
Pavarde443          Vardas443           2.65                2.60                
Pavarde445          Vardas445           3.73                3.40                
Pavarde446          Vardas446           3.93                4.00                
Pavarde447          Vardas447           3.20                3.00                
Pavarde448          Vardas448           3.02                2.80                
Pavarde451          Vardas451           4.85                5.00                
Pavarde452          Vardas452           3.08                3.00                
Pavarde455          Vardas455           3.38                3.20                
Pavarde456          Vardas456           3.15                2.80                
Pavarde458          Vardas458           4.40                4.40                
Pavarde459          Vardas459           4.95                4.60                
Pavarde460          Vardas460           3.60                3.40                
Pavarde461          Vardas461           3.10                3.40                
Pavarde462          Vardas462           4.92                4.60                
Pavarde463          Vardas463           3.12                3.00                
Pavarde465          Vardas465           2.80                3.00                
Pavarde468          Vardas468           3.15                3.00                
Pavarde469          Vardas469           3.38                3.20                
Pavarde474          Vardas474           3.70                3.60                
Pavarde475          Vardas475           3.05                3.00                
Pavarde477          Vardas477           4.20                4.00                
Pavarde48           Vardas48            4.42                4.40                
Pavarde482          Vardas482           3.55                3.60                
Pavarde484          Vardas484           3.02                2.80                
Pavarde485          Vardas485           3.00                3.00                
Pavarde488          Vardas488           3.23                2.80                
Pavarde489          Vardas489           3.40                3.60                
Pavarde49           Vardas49            3.20                3.20                
Pavarde491          Vardas491           3.27                3.20                
Pavarde493          Vardas493           4.62                4.80                
Pavarde497          Vardas497           4.67                4.60                
Pavarde498          Vardas498           2.40                2.20                
Pavarde500          Vardas500           3.20                2.80                
Pavarde504          Vardas504           3.60                3.60                
Pavarde505          Vardas505           4.90                5.20                
Pavarde506          Vardas506           3.23                2.80                
Pavarde508          Vardas508           3.48                4.00                
Pavarde51           Vardas51            2.38                2.20                
Pavarde513          Vardas513           2.27                1.80                
Pavarde514          Vardas514           3.70                3.60                
Pavarde515          Vardas515           3.35                3.20                
Pavarde520          Vardas520           3.75                3.60                
Pavarde525          Vardas525           3.90                3.80                
Pavarde527          Vardas527           3.40                3.20                
Pavarde532          Vardas532           3.05                2.40                
Pavarde533          Vardas533           4.65                4.40                
Pavarde535          Vardas535           4.78                4.40                
Pavarde536          Vardas536           2.88                2.60                
Pavarde538          Vardas538           3.95                4.20                
Pavarde54           Vardas54            2.60                2.20                
Pavarde541          Vardas541           4.90                5.00                
Pavarde542          Vardas542           3.77                3.60                
Pavarde544          Vardas544           3.77                3.80                
Pavarde552          Vardas552           3.65                3.40                
Pavarde553          Vardas553           3.50                3.20                
Pavarde555          Vardas555           4.53                4.40                
Pavarde557          Vardas557           3.60                3.00                
Pavarde559          Vardas559           3.85                3.60                
Pavarde560          Vardas560           2.52                2.20                
Pavarde563          Vardas563           4.62                4.20                
Pavarde565          Vardas565           3.48                3.60                
Pavarde568          Vardas568           3.02                3.40                
Pavarde570          Vardas570           3.95                4.20                
Pavarde571          Vardas571           4.28                4.20                
Pavarde573          Vardas573           4.17                4.20                
Pavarde576          Vardas576           4.95                4.60                
Pavarde581          Vardas581           4.90                5.20                
Pavarde583          Vardas583           3.15                2.80                
Pavarde586          Vardas586           3.12                2.80                
Pavarde587          Vardas587           3.35                3.60                
Pavarde588          Vardas588           4.80                4.40                
Pavarde59           Vardas59            2.27                1.80                
Pavarde593          Vardas593           2.65                2.60                
Pavarde594          Vardas594           2.65                2.60                
Pavarde595          Vardas595           4.30                3.60                
Pavarde598          Vardas598           4.22                4.20                
Pavarde6            Vardas6             3.52                3.60                
Pavarde60           Vardas60            3.08                2.40                
Pavarde600          Vardas600           3.12                2.80                
Pavarde603          Vardas603           2.93                3.00                
Pavarde604          Vardas604           3.23                2.80                
Pavarde605          Vardas605           3.50                3.80                
Pavarde608          Vardas608           2.98                3.00                
Pavarde610          Vardas610           3.27                3.40                
Pavarde613          Vardas613           3.30                3.60                
Pavarde616          Vardas616           2.70                2.60                
Pavarde619          Vardas619           4.42                4.40                
Pavarde62           Vardas62            2.88                2.60                
Pavarde623          Vardas623           3.65                3.20                
Pavarde625          Vardas625           4.35                4.20                
Pavarde626          Vardas626           4.28                3.80                
Pavarde628          Vardas628           3.80                3.80                
Pavarde630          Vardas630           3.20                3.20                
Pavarde631          Vardas631           3.48                3.60                
Pavarde634          Vardas634           4.80                4.80                
Pavarde636          Vardas636           4.85                4.60                
Pavarde637          Vardas637           4.50                4.40                
Pavarde638          Vardas638           4.38                4.00                
Pavarde64           Vardas64            3.55                3.40                
Pavarde642          Vardas642           4.75                4.80                
Pavarde646          Vardas646           2.55                2.20                
Pavarde647          Vardas647           4.70                4.20                
Pavarde648          Vardas648           3.85                3.40                
Pavarde649          Vardas649           4.20                4.60                
Pavarde65           Vardas65            3.38                2.80                
Pavarde655          Vardas655           4.15                3.80                
Pavarde656          Vardas656           3.18                3.20                
Pavarde657          Vardas657           2.68                2.60                
Pavarde661          Vardas661           3.10                2.40                
Pavarde662          Vardas662           3.48                3.60                
Pavarde664          Vardas664           4.90                4.20                
Pavarde667          Vardas667           4.05                3.80                
Pavarde668          Vardas668           2.83                2.60                
Pavarde669          Vardas669           4.55                4.80                
Pavarde674          Vardas674           4.25                4.60                
Pavarde675          Vardas675           2.68                2.20                
Pavarde676          Vardas676           3.52                3.60                
Pavarde679          Vardas679           2.98                2.60                
Pavarde68           Vardas68            4.17                3.80                
Pavarde680          Vardas680           4.45                4.40                
Pavarde681          Vardas681           3.52                3.40                
Pavarde688          Vardas688           4.17                4.20                
Pavarde689          Vardas689           3.40                3.60                
Pavarde69           Vardas69            3.75                3.40                
Pavarde692          Vardas692           3.18                3.00                
Pavarde693          Vardas693           3.88                4.00                
Pavarde694          Vardas694           3.92                4.20                
Pavarde7            Vardas7             4.62                5.00                
Pavarde701          Vardas701           3.27                3.60                
Pavarde703          Vardas703           2.75                1.80                
Pavarde704          Vardas704           4.98                4.60                
Pavarde706          Vardas706           2.10                1.80                
Pavarde709          Vardas709           2.52                2.20                
Pavarde710          Vardas710           3.52                3.60                
Pavarde711          Vardas711           3.88                3.80                
Pavarde715          Vardas715           4.15                4.20                
Pavarde716          Vardas716           4.97                5.20                
Pavarde718          Vardas718           3.67                3.40                
Pavarde72           Vardas72            4.35                4.00                
Pavarde720          Vardas720           4.92                4.60                
Pavarde721          Vardas721           4.67                4.80                
Pavarde723          Vardas723           3.70                3.60                
Pavarde729          Vardas729           4.03                3.80                
Pavarde73           Vardas73            3.92                3.40                
Pavarde731          Vardas731           4.58                4.60                
Pavarde741          Vardas741           4.45                4.60                
Pavarde746          Vardas746           4.28                4.20                
Pavarde751          Vardas751           4.58                4.40                
Pavarde752          Vardas752           3.62                3.60                
Pavarde753          Vardas753           4.50                4.60                
Pavarde757          Vardas757           4.60                4.40                
Pavarde758          Vardas758           3.83                4.00                
Pavarde761          Vardas761           4.97                4.80                
Pavarde763          Vardas763           2.95                2.80                
Pavarde769          Vardas769           4.08                4.20                
Pavarde771          Vardas771           4.85                4.60                
Pavarde774          Vardas774           3.73                3.60                
Pavarde775          Vardas775           2.98                2.40                
Pavarde776          Vardas776           3.18                3.20                
Pavarde777          Vardas777           4.30                4.60                
Pavarde778          Vardas778           4.28                4.20                
Pavarde779          Vardas779           3.57                3.80                
Pavarde780          Vardas780           3.80                3.80                
Pavarde781          Vardas781           3.67                3.80                
Pavarde782          Vardas782           2.25                2.20                
Pavarde784          Vardas784           4.35                4.00                
Pavarde788          Vardas788           2.75                2.60                
Pavarde789          Vardas789           3.48                3.00                
Pavarde790          Vardas790           4.45                4.40                
Pavarde797          Vardas797           3.18                3.20                
Pavarde80           Vardas80            4.90                4.80                
Pavarde800          Vardas800           4.47                4.60                
Pavarde802          Vardas802           4.67                4.40                
Pavarde804          Vardas804           3.45                3.20                
Pavarde805          Vardas805           3.20                2.80                
Pavarde807          Vardas807           4.40                4.20                
Pavarde809          Vardas809           2.70                2.60                
Pavarde812          Vardas812           2.93                2.80                
Pavarde813          Vardas813           3.27                3.20                
Pavarde815          Vardas815           3.62                3.60                
Pavarde820          Vardas820           2.55                2.20                
Pavarde822          Vardas822           2.93                3.20                
Pavarde824          Vardas824           3.65                3.40                
Pavarde826          Vardas826           4.60                4.40                
Pavarde834          Vardas834           2.88                2.60                
Pavarde836          Vardas836           3.30                3.20                
Pavarde837          Vardas837           4.53                4.40                
Pavarde84           Vardas84            3.15                2.80                
Pavarde842          Vardas842           4.20                4.20                
Pavarde843          Vardas843           2.75                2.20                
Pavarde844          Vardas844           2.75                2.60                
Pavarde847          Vardas847           4.53                4.60                
Pavarde85           Vardas85            4.62                4.40                
Pavarde850          Vardas850           4.88                4.80                
Pavarde851          Vardas851           4.92                5.00                
Pavarde852          Vardas852           4.10                3.80                
Pavarde854          Vardas854           4.67                4.60                
Pavarde855          Vardas855           2.80                2.40                
Pavarde856          Vardas856           4.85                5.20                
Pavarde859          Vardas859           3.10                2.80                
Pavarde863          Vardas863           3.10                2.80                
Pavarde866          Vardas866           4.67                4.80                
Pavarde867          Vardas867           3.50                3.60                
Pavarde869          Vardas869           3.90                3.60                
Pavarde87           Vardas87            4.62                4.20                
Pavarde870          Vardas870           2.45                1.80                
Pavarde871          Vardas871           4.50                4.00                
Pavarde872          Vardas872           3.62                3.80                
Pavarde877          Vardas877           4.17                3.80                
Pavarde879          Vardas879           3.30                3.00                
Pavarde885          Vardas885           3.40                3.20                
Pavarde888          Vardas888           3.60                3.20                
Pavarde891          Vardas891           4.78                4.80                
Pavarde894          Vardas894           2.98                3.00                
Pavarde895          Vardas895           4.47                4.40                
Pavarde896          Vardas896           4.70                5.20                
Pavarde90           Vardas90            2.73                2.40                
Pavarde900          Vardas900           4.98                5.00                
Pavarde901          Vardas901           4.25                4.40                
Pavarde902          Vardas902           4.08                3.80                
Pavarde904          Vardas904           3.50                3.20                
Pavarde905          Vardas905           3.52                3.20                
Pavarde906          Vardas906           3.12                3.20                
Pavarde909          Vardas909           3.08                3.00                
Pavarde91           Vardas91            2.68                2.60                
Pavarde914          Vardas914           4.15                4.20                
Pavarde915          Vardas915           3.33                3.40                
Pavarde916          Vardas916           3.90                4.20                
Pavarde917          Vardas917           4.25                4.20                
Pavarde92           Vardas92            4.53                4.40                
Pavarde925          Vardas925           3.30                2.80                
Pavarde926          Vardas926           4.05                4.20                
Pavarde928          Vardas928           2.83                2.40                
Pavarde931          Vardas931           3.33                3.20                
Pavarde932          Vardas932           4.72                4.40                
Pavarde933          Vardas933           4.83                4.60                
Pavarde936          Vardas936           4.45                4.40                
Pavarde937          Vardas937           4.62                4.60                
Pavarde939          Vardas939           2.50                2.20                
Pavarde940          Vardas940           2.80                3.00                
Pavarde943          Vardas943           4.60                4.60                
Pavarde948          Vardas948           3.55                3.60                
Pavarde950          Vardas950           3.10                2.80                
Pavarde951          Vardas951           3.83                4.00                
Pavarde953          Vardas953           4.33                4.20                
Pavarde955          Vardas955           3.83                4.00                
Pavarde956          Vardas956           4.95                4.60                
Pavarde957          Vardas957           2.77                3.00                
Pavarde96           Vardas96            4.95                5.20                
Pavarde960          Vardas960           4.12                4.20                
Pavarde961          Vardas961           3.80                4.00                
Pavarde964          Vardas964           4.55                4.40                
Pavarde97           Vardas97            2.55                2.40                
Pavarde971          Vardas971           3.52                3.60                
Pavarde973          Vardas973           2.93                2.60                
Pavarde975          Vardas975           2.70                2.60                
Pavarde976          Vardas976           3.18                2.80                
Pavarde978          Vardas978           4.17                4.00                
Pavarde983          Vardas983           3.48                3.20                
Pavarde984          Vardas984           4.85                4.80                
Pavarde985          Vardas985           4.50                4.80                
Pavarde986          Vardas986           3.50                3.60                
Pavarde988          Vardas988           3.60                3.60                
Pavarde989          Vardas989           4.08                3.80                
Pavarde990          Vardas990           2.48                2.20                
Pavarde992          Vardas992           4.50                4.40                
Pavarde998          Vardas998           3.08                2.60                
