Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 ND7                 ND8                 ND9                 ND10                ND11                ND12                ND13                ND14                ND15                ND16                Egz                 
Vardas16            Pavarde16           4                   2                   2                   5                   10                  6                   10                  1                   10                  4                   5                   1                   8                   6                   8                   6                   1                   
Vardas17            Pavarde17           7                   5                   8                   9                   5                   1                   1                   7                   3                   5                   8                   5                   2                   9                   6                   9                   10                  
Vardas18            Pavarde18           10                  10                  4                   4                   8                   8                   4                   3                   6                   7                   4                   5                   1                   7                   1                   5                   1                   
Vardas19            Pavarde19           6                   7                   9                   6                   4                   8                   7                   9                   7                   8                   2                   9                   5                   10                  8                   4                   2                   
Vardas20            Pavarde20           1                   3                   4                   8                   2                   9                   10                  4                   8                   5                   9                   1                   5                   1                   6                   8                   1                   
Vardas21            Pavarde21           1                   6                   7                   8                   9                   1                   7                   6                   8                   4                   5                   4                   1                   5                   9                   8                   6                   
Vardas22            Pavarde22           10                  6                   4                   3                   8                   4                   10                  8                   8                   10                  6                   4                   4                   4                   9                   6                   9                   
Vardas23            Pavarde23           10                  7                   1                   5                   3                   4                   4                   8                   1                   1                   2                   1                   4                   1                   1                   4                   9                   
Vardas24            Pavarde24           4                   7                   1                   5                   1                   10                  3                   5                   10                  3                   10                  2                   1                   10                  4                   1                   1                   
Vardas25            Pavarde25           4                   1                   2                   10                  9                   7                   10                  1                   2                   7                   5                   5                   9                   7                   2                   5                   1                   
Vardas26            Pavarde26           9                   2                   1                   4                   2                   2                   6                   1                   9                   5                   10                  4                   1                   6                   3                   4                   9                   
Vardas27            Pavarde27           8                   9                   1                   5                   6                   8                   2                   1                   7                   1                   4                   4                   6                   1                   3                   4                   3                   
Vardas28            Pavarde28           8                   2                   1                   1                   10                  8                   2                   8                   5                   6                   2                   8                   9                   3                   6                   5                   6                   
Vardas29            Pavarde29           4                   1                   2                   10                  5                   6                   10                  4                   10                  7                   7                   5                   1                   9                   3                   1                   7                   
Vardas30            Pavarde30           1                   8                   3                   10                  9                   2                   2                   7                   2                   2                   9                   2                   2                   6                   1                   1                   9                   
Vardas31            Pavarde31           4                   8                   1                   2                   4                   5                   4                   8                   8                   6                   2                   3                   7                   7                   6                   5                   2                   
Vardas32            Pavarde32           8                   2                   4                   5                   9                   7                   2                   6                   1                   7                   6                   4                   2                   1                   2                   10                  6                   
Vardas33            Pavarde33           8                   7                   9                   6                   5                   8                   10                  7                   7                   7                   7                   8                   1                   5                   2                   1                   9                   
Vardas34            Pavarde34           2                   5                   9                   9                   5                   6                   8                   10                  9                   5                   6                   9                   9                   10                  5                   8                   1                   
Vardas35            Pavarde35           5                   1                   7                   6                   4                   9                   6                   2                   3                   5                   7                   8                   6                   6                   1                   6                   3                   
Vardas36            Pavarde36           1                   8                   8                   10                  8                   6                   4                   10                  10                  5                   10                  2                   6                   10                  9                   4                   1                   
Vardas37            Pavarde37           10                  1                   8                   7                   9                   4                   9                   7                   2                   10                  7                   8                   9                   10                  8                   6                   6                   
Vardas38            Pavarde38           3                   5                   10                  5                   5                   8                   10                  6                   6                   7                   2                   6                   10                  2                   4                   9                   9                   
Vardas39            Pavarde39           10                  5                   4                   10                  6                   2                   8                   5                   6                   2                   5                   7                   1                   4                   3                   3                   2                   
Vardas40            Pavarde40           5                   8                   8                   1                   10                  6                   8                   3                   10                  8                   7                   9                   3                   10                  10                  9                   4                   
Vardas41            Pavarde41           8                   2                   3                   7                   2                   8                   7                   6                   1                   5                   6                   2                   3                   4                   8                   3                   5                   
Vardas42            Pavarde42           2                   9                   3                   7                   1                   4                   10                  5                   10                  7                   6                   2                   4                   3                   7                   10                  1                   
Vardas43            Pavarde43           1                   4                   10                  6                   4                   2                   2                   3                   7                   10                  2                   10                  1                   7                   2                   8                   4                   
Vardas44            Pavarde44           9                   8                   1                   4                   7                   10                  2                   5                   2                   5                   7                   2                   1                   3                   5                   1                   5                   
Vardas45            Pavarde45           4                   2                   8                   10                  5                   8                   1                   2                   2                   6                   3                   3                   3                   5                   10                  8                   8                   
Vardas46            Pavarde46           3                   1                   10                  1                   8                   2                   7                   1                   10                  3                   10                  7                   1                   3                   9                   5                   5                   
Vardas47            Pavarde47           9                   1                   2                   6                   2                   2                   2                   6                   2                   8                   1                   9                   6                   4                   8                   10                  7                   
Vardas48            Pavarde48           4                   2                   6                   9                   1                   10                  3                   5                   4                   4                   10                  1                   6                   6                   5                   5                   4                   
Vardas49            Pavarde49           9                   3                   3                   7                   5                   1                   1                   1                   9                   2                   8                   7                   8                   2                   5                   9                   2                   
Vardas50            Pavarde50           9                   6                   4                   2                   10                  4                   10                  2                   1                   5                   10                  1                   1                   1                   4                   3                   9                   
Vardas51            Pavarde51           3                   5                   9                   4                   6                   1                   1                   7                   8                   1                   8                   4                   4                   3                   2                   5                   1                   
Vardas52            Pavarde52           1                   9                   8                   4                   9                   5                   6                   3                   10                  1                   10                  9                   1                   6                   4                   6                   6                   
Vardas53            Pavarde53           5                   6                   2                   2                   7                   2                   10                  4                   5                   8                   10                  9                   1                   8                   6                   9                   5                   
Vardas54            Pavarde54           3                   6                   1                   8                   1                   8                   7                   9                   3                   4                   10                  1                   4                   9                   4                   2                   1                   
Vardas55            Pavarde55           1                   9                   1                   5                   8                   7                   2                   7                   2                   5                   10                  7                   5                   3                   9                   5                   5                   
Vardas56            Pavarde56           10                  9                   2                   1                   4                   8                   5                   4                   5                   9                   2                   3                   9                   4                   10                  10                  10                  
Vardas57            Pavarde57           7                   2                   8                   4                   10                  9                   5                   1                   7                   4                   5                   7                   10                  8                   5                   10                  5                   
Vardas58            Pavarde58           2                   10                  7                   8                   1                   10                  8                   4                   2                   6                   7                   5                   6                   2                   3                   9                   9                   
Vardas59            Pavarde59           1                   8                   8                   10                  7                   1                   2                   3                   4                   3                   2                   2                   1                   2                   4                   9                   1                   
Vardas60            Pavarde60           1                   10                  5                   3                   5                   1                   3                   10                  8                   10                  3                   3                   4                   2                   4                   3                   2                   
Vardas61            Pavarde61           7                   9                   2                   1                   7                   1                   5                   10                  10                  5                   6                   1                   7                   10                  1                   9                   9                   
Vardas62            Pavarde62           3                   9                   1                   3                   1                   10                  6                   4                   6                   10                  9                   10                  2                   3                   9                   5                   1                   
Vardas63            Pavarde63           2                   1                   9                   2                   5                   10                  6                   10                  1                   3                   4                   6                   10                  1                   2                   4                   7                   
Vardas64            Pavarde64           10                  1                   5                   1                   3                   5                   5                   2                   10                  1                   3                   2                   6                   5                   10                  1                   3                   
Vardas65            Pavarde65           1                   4                   9                   3                   2                   7                   9                   4                   3                   10                  8                   4                   5                   9                   7                   2                   2                   
Vardas66            Pavarde66           6                   7                   10                  9                   1                   3                   3                   7                   8                   7                   2                   3                   2                   4                   7                   6                   8                   
Vardas67            Pavarde67           4                   7                   4                   3                   6                   1                   4                   8                   4                   6                   10                  2                   9                   5                   1                   9                   10                  
Vardas68            Pavarde68           6                   9                   3                   4                   3                   7                   7                   7                   4                   5                   5                   3                   10                  3                   9                   10                  3                   
Vardas69            Pavarde69           6                   7                   8                   3                   9                   1                   1                   9                   3                   6                   9                   1                   4                   3                   4                   4                   3                   
Vardas70            Pavarde70           2                   10                  2                   7                   4                   10                  2                   8                   10                  7                   7                   7                   5                   5                   5                   6                   8                   
Vardas71            Pavarde71           7                   8                   8                   1                   3                   2                   2                   5                   4                   8                   5                   5                   4                   1                   8                   10                  10                  
Vardas72            Pavarde72           10                  5                   5                   2                   3                   10                  5                   8                   4                   1                   10                  1                   4                   2                   2                   6                   4                   
Vardas73            Pavarde73           10                  7                   4                   2                   9                   2                   4                   1                   9                   8                   7                   3                   10                  2                   5                   2                   3                   
Vardas74            Pavarde74           6                   1                   5                   3                   7                   8                   7                   4                   5                   2                   10                  6                   10                  9                   9                   9                   8                   
Vardas75            Pavarde75           4                   9                   9                   10                  7                   9                   7                   10                  6                   10                  7                   9                   7                   10                  5                   8                   7                   
Vardas76            Pavarde76           9                   2                   4                   9                   1                   9                   2                   2                   9                   8                   7                   2                   9                   9                   4                   6                   7                   
Vardas77            Pavarde77           9                   9                   10                  10                  4                   8                   3                   4                   9                   4                   6                   2                   6                   5                   3                   3                   10                  
Vardas78            Pavarde78           2                   6                   9                   9                   1                   5                   1                   9                   6                   6                   10                  6                   8                   8                   4                   8                   7                   
Vardas79            Pavarde79           5                   4                   6                   5                   6                   7                   10                  5                   4                   7                   4                   5                   8                   5                   1                   8                   6                   
Vardas80            Pavarde80           1                   3                   6                   5                   3                   2                   6                   2                   7                   1                   1                   3                   4                   1                   6                   1                   6                   
Vardas81            Pavarde81           8                   5                   9                   1                   7                   1                   6                   10                  3                   9                   4                   8                   7                   3                   10                  9                   6                   
Vardas82            Pavarde82           10                  3                   6                   6                   10                  2                   2                   5                   5                   3                   7                   4                   7                   10                  2                   1                   5                   
Vardas83            Pavarde83           6                   9                   3                   2                   7                   1                   9                   5                   8                   9                   2                   8                   1                   5                   7                   10                  6                   
Vardas84            Pavarde84           4                   3                   10                  5                   2                   7                   7                   1                   3                   4                   4                   6                   9                   2                   9                   2                   2                   
Vardas85            Pavarde85           4                   1                   8                   3                   4                   6                   9                   4                   6                   7                   2                   8                   10                  3                   5                   9                   4                   
Vardas86            Pavarde86           10                  7                   5                   8                   8                   4                   2                   8                   5                   10                  7                   10                  9                   1                   4                   7                   7                   
Vardas87            Pavarde87           6                   5                   3                   4                   2                   3                   2                   3                   6                   7                   5                   9                   1                   2                   1                   6                   5                   
Vardas88            Pavarde88           3                   7                   8                   10                  6                   10                  2                   1                   9                   10                  10                  8                   10                  7                   10                  1                   6                   
Vardas89            Pavarde89           8                   3                   3                   1                   2                   6                   1                   6                   7                   5                   6                   3                   4                   1                   7                   5                   8                   
Vardas90            Pavarde90           2                   2                   9                   6                   3                   1                   2                   2                   3                   5                   6                   6                   3                   4                   3                   4                   2                   
Vardas91            Pavarde91           2                   10                  9                   1                   10                  6                   3                   5                   3                   4                   6                   9                   5                   6                   2                   2                   1                   
Vardas92            Pavarde92           5                   2                   7                   2                   5                   6                   3                   4                   4                   7                   9                   5                   9                   4                   10                  3                   4                   
Vardas93            Pavarde93           1                   10                  3                   8                   3                   3                   8                   10                  4                   1                   10                  1                   2                   6                   9                   3                   6                   
Vardas94            Pavarde94           1                   3                   9                   4                   10                  10                  4                   1                   2                   6                   3                   8                   4                   10                  7                   5                   10                  
Vardas95            Pavarde95           3                   4                   6                   10                  8                   3                   5                   3                   5                   7                   8                   6                   10                  3                   7                   3                   10                  
Vardas96            Pavarde96           7                   10                  10                  9                   1                   4                   7                   4                   8                   6                   9                   8                   8                   2                   7                   2                   4                   
Vardas97            Pavarde97           5                   4                   3                   3                   2                   2                   2                   3                   4                   4                   1                   1                   5                   6                   8                   1                   2                   
Vardas98            Pavarde98           9                   7                   4                   1                   10                  7                   3                   9                   5                   7                   7                   3                   6                   2                   8                   2                   9                   
Vardas99            Pavarde99           5                   1                   8                   8                   2                   3                   3                   8                   5                   8                   6                   8                   4                   9                   10                  4                   8                   
Vardas100           Pavarde100          2                   6                   8                   6                   8                   3                   5                   5                   10                  10                  7                   1                   2                   7                   3                   4                   6                   
Vardas101           Pavarde101          10                  2                   10                  2                   7                   4                   7                   5                   1                   9                   2                   10                  6                   6                   2                   8                   8                   
Vardas102           Pavarde102          9                   1                   5                   5                   6                   4                   10                  7                   6                   4                   8                   3                   2                   9                   5                   3                   2                   
Vardas103           Pavarde103          1                   7                   1                   4                   8                   9                   5                   8                   10                  6                   4                   4                   7                   1                   9                   10                  8                   
Vardas104           Pavarde104          5                   6                   10                  8                   6                   8                   5                   6                   9                   8                   10                  6                   10                  7                   7                   9                   6                   
Vardas105           Pavarde105          3                   9                   4                   10                  4                   4                   4                   10                  2                   5                   5                   6                   3                   7                   10                  6                   1                   
Vardas106           Pavarde106          4                   1                   3                   9                   4                   2                   8                   9                   7                   9                   7                   8                   5                   1                   1                   9                   8                   
Vardas107           Pavarde107          7                   5                   7                   4                   8                   9                   5                   7                   9                   3                   4                   1                   5                   5                   4                   4                   3                   
Vardas108           Pavarde108          10                  8                   10                  8                   2                   4                   4                   10                  1                   5                   8                   5                   2                   9                   1                   9                   9                   
Vardas109           Pavarde109          2                   8                   3                   4                   1                   7                   1                   5                   9                   1                   4                   10                  5                   6                   2                   2                   1                   
Vardas110           Pavarde110          8                   1                   5                   6                   2                   5                   3                   5                   1                   7                   8                   2                   6                   10                  2                   6                   1                   
Vardas111           Pavarde111          1                   6                   10                  5                   4                   5                   5                   5                   5                   4                   6                   8                   8                   8                   3                   5                   3                   
Vardas112           Pavarde112          10                  10                  4                   8                   1                   1                   7                   7                   3                   6                   9                   7                   2                   5                   8                   9                   1                   
Vardas113           Pavarde113          3                   8                   6                   2                   7                   5                   1                   6                   9                   10                  3                   4                   3                   7                   9                   4                   7                   
Vardas114           Pavarde114          7                   7                   4                   2                   7                   3                   2                   10                  8                   5                   3                   1                   3                   6                   1                   3                   2                   
Vardas115           Pavarde115          3                   4                   8                   8                   7                   6                   2                   10                  10                  8                   10                  1                   7                   6                   2                   8                   10                  
Vardas116           Pavarde116          8                   4                   6                   10                  3                   9                   4                   10                  9                   8                   5                   2                   8                   7                   1                   3                   2                   
Vardas117           Pavarde117          1                   9                   8                   10                  5                   8                   3                   10                  8                   1                   2                   5                   5                   1                   6                   10                  8                   
Vardas118           Pavarde118          6                   6                   5                   1                   9                   8                   4                   8                   5                   9                   8                   6                   4                   3                   8                   7                   3                   
